SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
542,3BHK Residential House for Resale in Raghavendra Nagar Nacharam,Residential House,"Hyderabad, Andhra Pradesh","Behind Vyjiyanthi Theatre. Ragevendra Nagar, Sai baba temple road",Hyderabad,Andhra Pradesh,India,,2448,2,3,3,2,3,Ready to Move,Unfurnished,10212,,Resale,East,,,0,25000000
543,4BHK Multistorey Apartment for New Property in Mahaveer Palmgrove at Prakash Nagar Begumpet,Apartment,"Hyderabad, Andhra Pradesh",.5 KM from main road. Lane beside Sunshine Hospital,Hyderabad,Andhra Pradesh,India,,2065,5,4,3,1,4,Ready to Move,Unfurnished,10654,,New Property,East,,Power Of Attorney,1500000,22000000
544,3BHK Multistorey Apartment for Resale in Jayalakshmi Towers at Musheerabad,Apartment,"Hyderabad, Andhra Pradesh",SBI Bank,Hyderabad,Andhra Pradesh,India,2000,2340,10,3,3,1,3,Ready to Move,Unfurnished,8120,,Resale,East,,Freehold,0,19000000
545,"3BHK Multistorey Apartment for Resale in Mayfair Apartments at Tellapur, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1716,2083,9,3,3,2,3,Ready to Move,Furnished,9602,,Resale,West,,Freehold,500000,20000000
546,5BHK Residential House for Resale in Alwal,Residential House,"Hyderabad, Andhra Pradesh",Jaganmatha temple.,Hyderabad,Andhra Pradesh,India,2400,2500,2,5,5,3,5,Ready to Move,Unfurnished,6600,,Resale,North - West,,Freehold,0,16500000
547,4BHK Villa for Resale in Saket Township at Kapra,Villa,"Hyderabad, Andhra Pradesh",50 mtrs from main road of saket to dammaiguda.,Hyderabad,Andhra Pradesh,India,2400,2400,,4,4,,4,Ready to Move,Semi-Furnished,10417,,Resale,West,"1 Covered, 2 Open",Freehold,1000000,25000000
548,5BHK Residential House for Resale in SV Nagar Cherlapalli,Residential House,"Hyderabad, Andhra Pradesh",Enfield bullet show room,Hyderabad,Andhra Pradesh,India,140,1440,3,5,6,3,5,Ready to Move,Unfurnished,11111,,Resale,West,,Freehold,0,16000000
549,4BHK Multistorey Apartment for Resale in Lodha Bellezza at Hitech City,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,4761,,39,4,6,3,4,Ready to Move,Furnished,,,Resale,,,,0,59500000
550,3BHK Multistorey Apartment for Resale in Bachupally,Apartment,"Hyderabad, Andhra Pradesh",Nearby bachupally oss roads,Hyderabad,Andhra Pradesh,India,,1601,5,3,3,2,3,Ready to Move,Unfurnished,9369,,Resale,East,,Freehold,0,15000000
551,2BHK Residential House for Resale in Malkajgiri,Residential House,"Hyderabad, Andhra Pradesh",Malkajgiri railway station,Hyderabad,Andhra Pradesh,India,1100,1255,1,2,2,1,2,Ready to Move,Unfurnished,9562,,Resale,North,"1 Covered, 1 Open",Freehold,0,12000000
