SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
2877,"1BHK Multistorey Apartment for Resale in Wadachi Wadi, Undri",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,522,,5,1,1,1,1,Ready to Move,Unfurnished,,,Resale,,,,100000,2500000
2878,3BHK Multistorey Apartment for Resale in Alfa Premio at Viman Nagar,Apartment,"Pune, Maharashtra",Next to Dutta mandir opposite Khalsa Dairy.,Pune,Maharashtra,India,1568,2163,8,3,5,2,3,Under Construction,Unfurnished,8784,,Resale,East,2 Covered,Freehold,1100000,19000000
2879,2BHK Multistorey Apartment for Resale in Rawat Capstone at Undri,Apartment,"Pune, Maharashtra",Nyati evara,Pune,Maharashtra,India,950,1150,9,2,2,2,2,Ready to Move,Semi-Furnished,6261,,Resale,East,"1 Covered, 1 Open",Freehold,200000,7200000
2880,1BHK Multistorey Apartment for Resale in Blithe Icon at Kalubai Nagar Wagholi,Apartment,"Pune, Maharashtra",Near GULAAB TAARA PALACE.,Pune,Maharashtra,India,520,696,12,1,2,2,1,Ready to Move,Unfurnished,5603,,Resale,West,,Co-operative Society,0,3900000
2881,2BHK Multistorey Apartment for Resale in Pride World City at Charholi BK,Apartment,"Pune, Maharashtra",DY Patil College,Pune,Maharashtra,India,60,1046,12,2,2,2,2,Ready to Move,Semi-Furnished,8126,,Resale,,,Co-operative Society,1000000,8500000
2882,3BHK Multistorey Apartment for New Property in Aundh,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,1600,,3,3,2,3,Under Construction,Semi-Furnished,13328,,New Property,East,2 Covered,Freehold,0,21300000
2883,1BHK Multistorey Apartment for Resale in Krushna Kunj at Dehu Road,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,407,590,8,1,1,1,1,Ready to Move,Unfurnished,4661,,Resale,,305 Covered,Co-operative Society,0,2750000
2884,3BHK Multistorey Apartment for New Property in Tulsidas Apartment at Camp,Apartment,"Pune, Maharashtra","MG Road, Dorabjees Supermarket, Agyari- Parsi Temple, Shastri Apts",Pune,Maharashtra,India,,1200,8,3,2,2,3,Ready to Move,Semi-Furnished,14167,,New Property,East,,Freehold,0,17000000
2885,"2BHK Multistorey Apartment for Resale in Sai Prem Park at Pimple Saudagar, Pimpri Chinchwad",Apartment,"Pune, Maharashtra",Near Govind Garden,Pune,Maharashtra,India,800,1050,6,2,2,2,2,Ready to Move,Unfurnished,6857,,Resale,North,,Freehold,100000,7200000
2886,1BHK Multistorey Apartment for Resale in Kesar Tree Town at Moshi,Apartment,"Pune, Maharashtra",Near Jay Ganesh Lawns,Pune,Maharashtra,India,586,690,12,1,1,1,1,Ready to Move,Semi-Furnished,5333,,Resale,East,"1 Covered, 1 Open",Freehold,100000,3680000
2887,"2BHK Multistorey Apartment for Resale in Godrej Park Greens at Mamurdi, Dehu Road",Apartment,"Pune, Maharashtra",Opp to gahunje stadium,Pune,Maharashtra,India,568,700,23,2,2,2,2,Ready to Move,Unfurnished,8286,,Resale,East,,,0,5800000
2888,2BHK Multistorey Apartment for Resale in Alkasa at NIBM Annexe Area,Apartment,"Pune, Maharashtra",Mohammadwadi road.,Pune,Maharashtra,India,,1210,12,2,2,2,2,Ready to Move,Unfurnished,5372,,Resale,East,1 Covered,,500000,6500000
2889,2BHK Multistorey Apartment for Resale in Godrej Hillside at Mahalunge,Apartment,"Pune, Maharashtra",Ariana International school,Pune,Maharashtra,India,691,880,24,2,2,2,2,Ready to Move,Unfurnished,9091,,Resale,East,1 Covered,Freehold,500000,8000000
2890,2BHK Multistorey Apartment for Resale in Talegaon Dabhade,Apartment,"Pune, Maharashtra",Near Shivaji Chowk,Pune,Maharashtra,India,750,975,3,2,2,,2,Ready to Move,Unfurnished,2769,,Resale,West,1 Open,Co-operative Society,100000,2700000
2891,1BHK Multistorey Apartment for Resale in River Residency at Moshi,Apartment,"Pune, Maharashtra",Near SNBP School,Pune,Maharashtra,India,390,568,11,1,1,1,1,Ready to Move,Unfurnished,5018,,Resale,East,,Co-operative Society,100000,2850000
2892,2BHK Multistorey Apartment for Resale in ossover County at Sinhgad Road,Apartment,"Pune, Maharashtra",Datta Krishnai Mangal Karyalay,Pune,Maharashtra,India,880,1012,10,2,2,2,2,Ready to Move,Semi-Furnished,10870,,Resale,East,1 Covered,Freehold,500000,11000000
2893,2BHK Multistorey Apartment for Resale in The Prestige Avenue at Baner Pashan Link Road,Apartment,"Pune, Maharashtra",Sant Tukaram School,Pune,Maharashtra,India,788,1000,11,2,2,1,2,Ready to Move,Semi-Furnished,9500,,Resale,East,1 Covered,Freehold,500000,9500000
2894,2BHK Multistorey Apartment for Resale in Neeti ShreeLeela at Sus,Apartment,"Pune, Maharashtra",Hotel Royal Inn,Pune,Maharashtra,India,800,1005,4,2,2,2,2,Ready to Move,Unfurnished,6468,,Resale,East,1 Covered,Co-operative Society,500000,6500000
2895,2BHK Multistorey Apartment for Resale in Astonia Royale at Ambegaon,Apartment,"Pune, Maharashtra",VKD Bharat Petroleum,Pune,Maharashtra,India,813,1049,12,2,2,1,2,Ready to Move,Semi-Furnished,7340,,Resale,East,1 Covered,Freehold,500000,7700000
2896,2BHK Multistorey Apartment for Resale in Vrindavan Srushti at Narhe,Apartment,"Pune, Maharashtra",Zeal College,Pune,Maharashtra,India,715,902,8,2,2,1,2,Ready to Move,Unfurnished,6763,,Resale,East,,Co-operative Society,500000,6100000
2897,"2BHK Multistorey Apartment for Resale in V Top Valonia at Punawale, Pimpri Chinchwad",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,709,850,10,2,1,1,2,Under Construction,Unfurnished,7294,,Resale,East,1 Covered,Freehold,100000,6200000
2898,"4BHK Multistorey Apartment for Resale in Amora Home at Pimple Nilakh, Pimpri Chinchwad",Apartment,"Pune, Maharashtra",Near Bharat Petrol Pump,Pune,Maharashtra,India,1420,2000,7,4,3,3,4,Ready to Move,Unfurnished,7500,,Resale,East,2 Covered,Freehold,500000,15000000
2899,2BHK Multistorey Apartment for Resale in Suvidha Damodar Nisarg at Hingne Khurd,Apartment,"Pune, Maharashtra",Miracles Academy Of Arts  Media,Pune,Maharashtra,India,745,1500,4,2,2,1,2,Ready to Move,Unfurnished,4667,,Resale,East,,Freehold,500000,7000000
2900,2BHK Multistorey Apartment for Resale in Crystal Heights at Wakad,Apartment,"Pune, Maharashtra",Near Choudhary Park Wakad Pune,Pune,Maharashtra,India,788,1030,12,2,2,1,2,Ready to Move,Unfurnished,6990,,Resale,East,,Freehold,200000,7200000
2901,1BHK Multistorey Apartment for Resale in Mundhwa,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,400,500,4,1,1,1,1,Ready to Move,Unfurnished,7600,,Resale,North,,,200000,3800000
2902,"1BHK Multistorey Apartment for Resale in Thergaon, Pimpri Chinchwad",Apartment,"Pune, Maharashtra","School, hospital, Market",Pune,Maharashtra,India,390,530,6,1,1,1,1,Under Construction,Unfurnished,4340,,Resale,East,,Power Of Attorney,200000,2300000
2903,"2BHK Multistorey Apartment for Resale in The Leaf at Yewalewadi, Katraj",Apartment,"Pune, Maharashtra","within 2km premises  Iscon temple, Sinhgad  Trinity College",Pune,Maharashtra,India,750,1050,14,2,2,1,2,Ready to Move,Semi-Furnished,4381,,Resale,West,108 Covered,Co-operative Society,100000,4600000
2904,3BHK Multistorey Apartment for Resale in Rohan Leher at Baner Highway Side Rd,Apartment,"Pune, Maharashtra",BItwise solution PVT LTD,Pune,Maharashtra,India,1000,1250,10,3,3,2,3,Ready to Move,Unfurnished,9200,,Resale,East,2 Covered,Freehold,500000,11500000
2905,1BHK Multistorey Apartment for Resale in Hubtown Countrywoods at Katraj Kondhwa Road,Apartment,"Pune, Maharashtra",iscon temple,Pune,Maharashtra,India,,627,7,1,1,,1,Ready to Move,Unfurnished,4306,,Resale,North,,Freehold,25000,2700000
2906,"2BHK Multistorey Apartment for Resale in Riddhi Siddhi at Alandi, Kelgaon",Apartment,"Pune, Maharashtra",Near Lokseva Petroleum,Pune,Maharashtra,India,600,1060,4,2,2,2,2,Ready to Move,Furnished,6321,,Resale,East,,Freehold,50000,6700000
2907,"1BHK Multistorey Apartment for Resale in xarbia Township Nere Hinjewadi at Marunji Village, Hinjawadi",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,286,315,7,1,1,1,1,Ready to Move,Unfurnished,6190,,Resale,South -West,2 Covered,Co-operative Society,0,1950000
2908,2BHK Multistorey Apartment for Resale in Hillock Towers at Somatne Phata,Apartment,"Pune, Maharashtra",Near Pavana Hospital,Pune,Maharashtra,India,520,762,11,2,2,1,2,Ready to Move,Unfurnished,4331,,Resale,East,,Co-operative Society,400000,3300000
2909,1BHK Multistorey Apartment for Resale in Sara City at Chakan,Apartment,"Pune, Maharashtra",Near Podar International School,Pune,Maharashtra,India,302,422,7,1,1,1,1,Ready to Move,Unfurnished,4265,,Resale,East,,Freehold,50000,1800000
2910,2BHK Multistorey Apartment for Resale in Sadashiv Peth,Apartment,"Pune, Maharashtra",Behind Neelayam theater,Pune,Maharashtra,India,731,900,5,2,2,1,2,Ready to Move,Furnished,13889,,Resale,East,1 Covered,Co-operative Society,500000,12500000
2911,2BHK Multistorey Apartment for Resale in ARV Imperia at Pisoli,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,734,,14,2,2,1,2,Ready to Move,Semi-Furnished,,,Resale,East,1 Open,,100000,6000000
2912,2BHK Multistorey Apartment for Resale in SOL The Address Phase 3 at Moshi,Apartment,"Pune, Maharashtra",Borate vasti,Pune,Maharashtra,India,700,745,12,2,2,3,2,Ready to Move,Semi-Furnished,9262,,Resale,East,"1 Covered, 1 Open",Freehold,100000,6900000
2913,2BHK Multistorey Apartment for Resale in Shapoorji Pallonji Joyville at Hinjawadi,Apartment,"Pune, Maharashtra",Near Infosys Circle Phase I,Pune,Maharashtra,India,496,682,18,2,2,1,2,Ready to Move,Unfurnished,10997,,Resale,East,1 Covered,Freehold,100000,7500000
2914,1BHK Multistorey Apartment for Resale in Samarth City at Kirkatwadi,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,448,590,4,1,1,1,1,Ready to Move,Unfurnished,4576,,Resale,West,,Freehold,100000,2700000
2915,1BHK Multistorey Apartment for Resale in Kasba Peth,Apartment,"Pune, Maharashtra",Budhwar Peth Metro Station,Pune,Maharashtra,India,456,570,4,1,1,,1,Ready to Move,Unfurnished,8772,,Resale,East,,Freehold,200000,5000000
2916, Multistorey Apartment for Resale in Kumar Palmcrest at Pisoli,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,,10,,2,,0,Ready to Move,Unfurnished,,,Resale,,1 Open,Freehold,0,4480000
2917,1BHK Multistorey Apartment for Resale in Narhe,Apartment,"Pune, Maharashtra",Swami Narayan Mandir,Pune,Maharashtra,India,420,580,5,1,1,1,1,Ready to Move,Unfurnished,3793,,Resale,East,1 Open,Freehold,100000,2200000
2918,"2BHK Multistorey Apartment for Resale in Celestial City Phase I at Ravet, Pimpri Chinchwad",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,604,895,8,2,2,1,2,Ready to Move,Unfurnished,7598,,Resale,East,,Power Of Attorney,0,6800000
2919,2BHK Multistorey Apartment for Resale in Kharabwadi,Apartment,"Pune, Maharashtra",Near Podar International School,Pune,Maharashtra,India,716,880,11,2,2,2,2,Ready to Move,Semi-Furnished,3977,,Resale,East,1 Covered,Freehold,100000,3500000
2920,4BHK Multistorey Apartment for Resale in Baner Pashan Link Road,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,2300,3150,30,4,5,2,4,Under Construction,Unfurnished,11746,,Resale,East,3 Covered,Co-operative Society,1000000,37000000
2921,2BHK Multistorey Apartment for Resale in Altissimo at Wakad,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,1110,12,2,2,2,2,Ready to Move,Unfurnished,8288,,Resale,,,,0,9200000
2922,1BHK Multistorey Apartment for Resale in Gagan Akanksha at Uruli Kanchan,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,515,551,7,1,2,1,1,Ready to Move,Unfurnished,2904,,Resale,East,,Co-operative Society,0,1600000
2923,2BHK Multistorey Apartment for Resale in ,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,691,,7,2,1,1,2,Ready to Move,Unfurnished,,,Resale,,,,0,2400000
2924,1BHK Multistorey Apartment for Resale in Unnati Avenue at Kondhwa,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,478,729,12,1,1,2,1,,Furnished,6173,,Resale,,,,500000,4500000
2925,3BHK Multistorey Apartment for Resale in Verde Residence collection at Kalyani Nagar,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,2333,3130,20,3,4,3,3,Ready to Move,Unfurnished,19968,,Resale,North - East,,Freehold,0,62500000
2926,"2BHK Multistorey Apartment for Resale in Atulya Nirman at Punawale, Pimpri Chinchwad",Apartment,"Pune, Maharashtra",Near Balaji Temple,Pune,Maharashtra,India,816,953,7,2,2,2,2,Ready to Move,Furnished,7345,,Resale,East,1 Covered,Co-operative Society,100000,7000000
2927,1BHK Multistorey Apartment for Resale in Kharalwadi,Apartment,"Pune, Maharashtra",Near Heera Complex,Pune,Maharashtra,India,480,580,5,1,2,1,1,Ready to Move,Semi-Furnished,6121,,Resale,East,,Freehold,300000,3550000
2928,"2BHK Multistorey Apartment for Resale in Silver Leaf Apartment Pimple Nilakh at Pimple Nilakh, Pimpri Chinchwad",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,638,,5,2,2,1,2,Ready to Move,Semi-Furnished,,,Resale,,,,0,6900000
2929,2BHK Multistorey Apartment for Resale in Sun Sapphire at Shinde Vasti Hadapsar,Apartment,"Pune, Maharashtra",Vibgyor School,Pune,Maharashtra,India,965,1207,12,2,2,3,2,Ready to Move,Semi-Furnished,8699,,Resale,West,1 Covered,Freehold,500000,10500000
2930,1BHK Multistorey Apartment for Resale in Siddharth Nagar Phase 3 at Aundh,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,360,3,1,1,,1,Ready to Move,Unfurnished,9000,,Resale,West,,Freehold,0,3240000
2931,1BHK Builder Floor Apartment for Resale in Harvinda Heights  at Narhe,Builder Floor Apartment,"Pune, Maharashtra",Zeal College,Pune,Maharashtra,India,320,400,5,1,1,,1,Ready to Move,Unfurnished,4000,,Resale,East,1 Open,Freehold,200000,1600000
2932,3BHK Multistorey Apartment for Resale in Hill Mist Garden at NIBM Road,Apartment,"Pune, Maharashtra",Near Kausar Bagh Masjid,Pune,Maharashtra,India,1500,1900,9,3,2,1,3,Ready to Move,Unfurnished,4684,,Resale,East,1 Covered,Freehold,200000,8900000
2933,1BHK Multistorey Apartment for Resale in Akurdi Chikhali Road,Apartment,"Pune, Maharashtra",Near Sane Chowk.,Pune,Maharashtra,India,486,650,5,1,1,1,1,Ready to Move,Unfurnished,5231,,Resale,West,,Freehold,100000,3400000
2934,3BHK Multistorey Apartment for Resale in Kumar Palmgrove at Kondhwa,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,1450,11,3,3,1,3,Ready to Move,Semi-Furnished,7172,,Resale,,,Co-operative Society,0,10400000
2935,2BHK Multistorey Apartment for Resale in ARV Royale at Handewadi Road,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,829,1000,11,2,2,1,2,Ready to Move,Semi-Furnished,5100,,Resale,East,,Co-operative Society,0,5100000
2936,"1BHK Multistorey Apartment for Resale in Parvati Gaon, Parvati Darshan",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,650,800,3,1,1,,1,Ready to Move,Unfurnished,6500,,Resale,East,,Freehold,500000,5200000
2937,2BHK Multistorey Apartment for Resale in Shree Vardhman Nagar at Kondhwa,Apartment,"Pune, Maharashtra",Unity Park,Pune,Maharashtra,India,900,910,8,2,2,,2,Ready to Move,Semi-Furnished,6593,,Resale,East,1 Covered,Freehold,100000,6000000
2938,2BHK Multistorey Apartment for Resale in Pawar Nagar Thergaon,Apartment,"Pune, Maharashtra",Near Aditya Birla Hospital,Pune,Maharashtra,India,710,1000,12,2,2,2,2,Ready to Move,Furnished,8200,,Resale,East,,Co-operative Society,50000,8200000
2939,1BHK Multistorey Apartment for Resale in Sukhwani Baug at Bhosari,Apartment,"Pune, Maharashtra",Near Chatrapati Shivaji Chowk,Pune,Maharashtra,India,446,528,3,1,1,1,1,Ready to Move,Unfurnished,6629,,Resale,East,,Freehold,100000,3500000
2940,3BHK Multistorey Apartment for New Property in Gandhi Euthenia Homes at Bavdhan,Apartment,"Pune, Maharashtra","Vidnyan Nagar Road, Opp Prabhat Housing Society",Pune,Maharashtra,India,1020,1275,4,3,3,2,3,Ready to Move,Unfurnished,10409,,New Property,West,2 Covered,Freehold,1100000,13200000
2941,"2BHK Multistorey Apartment for Resale in Dapodi, Pimpri Chinchwad",Apartment,"Pune, Maharashtra",Near Dapodi Metro Station,Pune,Maharashtra,India,814,1026,10,2,2,3,2,Ready to Move,Unfurnished,7895,,Resale,East,1 Covered,Freehold,100000,8100000
2942,2BHK Multistorey Apartment for Resale in The Palazzo at Hadapsar,Apartment,"Pune, Maharashtra",Near Suda Suman Society,Pune,Maharashtra,India,600,746,11,2,3,3,2,Ready to Move,Furnished,11126,,Resale,North,,Freehold,200000,8300000
2943,2BHK Multistorey Apartment for Resale in Elite Embassy at Bavdhan,Apartment,"Pune, Maharashtra",Bavdhan Police station,Pune,Maharashtra,India,850,1060,9,2,2,1,2,Ready to Move,Semi-Furnished,8491,,Resale,East,1 Covered,Freehold,500000,9000000
2944,3BHK Multistorey Apartment for Resale in Mittal Sun Grandeur at Bavdhan,Apartment,"Pune, Maharashtra",DSK Ranawara.,Pune,Maharashtra,India,1450,1700,12,3,3,3,3,Ready to Move,Unfurnished,10294,,Resale,East,,Freehold,100000,17500000
2945,1BHK Multistorey Apartment for Resale in Ambadwet,Apartment,"Pune, Maharashtra",just 10-12 min long from hinjewadi Phase-3,Pune,Maharashtra,India,519,,9,1,1,2,1,Ready to Move,Unfurnished,,,Resale,East,30 Open,Freehold,0,3700000
2946,2BHK Multistorey Apartment for Resale in Sun Radiant at Kondhwa BK,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,850,941,12,2,2,2,2,Ready to Move,Unfurnished,6164,,Resale,East,,Co-operative Society,100000,5800000
2947,3BHK Multistorey Apartment for Resale in Pride Platinum Plus at Pan Card Club Road,Apartment,"Pune, Maharashtra",Mr DIY,Pune,Maharashtra,India,1274,1528,21,3,3,3,3,Ready to Move,Unfurnished,12369,,Resale,West,2 Covered,Freehold,200000,18900000
2948,2BHK Multistorey Apartment for Resale in Dwarka City at Chakan,Apartment,"Pune, Maharashtra",Near Hotel Green Park,Pune,Maharashtra,India,796,935,12,2,2,1,2,Ready to Move,Semi-Furnished,4439,,Resale,East,1 Covered,Freehold,100000,4150000
2949,"1BHK Multistorey Apartment for Resale in Kothari Apartment at Bhairav Nagar, Dhanori",Apartment,"Pune, Maharashtra",Near kailash dham,Pune,Maharashtra,India,,545,3,1,1,,1,Ready to Move,Semi-Furnished,6422,,Resale,West,,Co-operative Society,0,3500000
2950,2BHK Multistorey Apartment for Resale in Golden Topaz at Katraj Kondhwa Road,Apartment,"Pune, Maharashtra",St. View International school,Pune,Maharashtra,India,746,1200,5,2,3,1,2,Ready to Move,Unfurnished,5417,,Resale,East,1 Covered,Freehold,200000,6500000
2951,2BHK Multistorey Apartment for Resale in Mont Vert Pristine at Aundh,Apartment,"Pune, Maharashtra",Khadki  Range Hills Metro station already operational,Pune,Maharashtra,India,1250,1590,11,2,2,3,2,Ready to Move,Furnished,11887,,Resale,East,,Co-operative Society,1000000,18900000
2952,"3BHK Multistorey Apartment for Resale in SKYi Songbirds at Bhugaon, Bavdhan",Apartment,"Pune, Maharashtra","The property has scenic views, gated community with club",Pune,Maharashtra,India,1497,2016,12,3,3,3,3,Ready to Move,,6696,,Resale,West,1 Covered,Co-operative Society,1000000,13500000
2953,"1BHK Multistorey Apartment for Resale in Kale Padal, Hadapsar",Apartment,"Pune, Maharashtra",Jspm institute of pharmacy.,Pune,Maharashtra,India,416,500,7,1,1,1,1,Ready to Move,Unfurnished,5800,,Resale,West,1 Open,Co-operative Society,300000,2900000
2954,"3BHK Multistorey Apartment for Resale in BK Jhala Tranquility Phase II at Manjri, Manjri Budruk",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,1113,,4,3,3,2,3,Ready to Move,Unfurnished,,,Resale,,,,100000,8800000
2955,"1BHK Multistorey Apartment for Resale in Kudalwadi, Chikhali",Apartment,"Pune, Maharashtra",Near Spine Road Bride,Pune,Maharashtra,India,536,650,4,1,1,1,1,Ready to Move,Semi-Furnished,5385,,Resale,East,2 Open,Freehold,25000,3500000
2956,"2BHK Multistorey Apartment for Resale in Mamurdi, Dehu Road",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,600,830,4,2,2,2,2,Ready to Move,Unfurnished,6024,,Resale,East,,Freehold,0,5000000
2957,3BHK Multistorey Apartment for Resale in Amrut Kalals  at Karvenagar,Apartment,"Pune, Maharashtra",Maharshi Karve stree shikshan sansthan,Pune,Maharashtra,India,800,1090,5,3,3,2,3,Ready to Move,Unfurnished,12018,,Resale,South,1 Covered,Freehold,500000,13100000
2958,1BHK Multistorey Apartment for Resale in Aksha Amulyam at Moshi,Apartment,"Pune, Maharashtra",Near New Orchid International School,Pune,Maharashtra,India,476,675,12,1,1,1,1,Ready to Move,Unfurnished,4444,,Resale,East,,Freehold,100000,3000000
2959,2BHK Multistorey Apartment for Resale in Abhimaan Homes at Shirgaon,Apartment,"Pune, Maharashtra",Near Somatane Phata,Pune,Maharashtra,India,526,620,12,2,2,2,2,Ready to Move,Unfurnished,6129,,Resale,East,,Freehold,100000,3800000
2960,1BHK Multistorey Apartment for Resale in Silver9 at Moshi,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,440,,11,1,1,2,1,Ready to Move,Unfurnished,,,Resale,East,,,0,3500000
2961,2BHK Multistorey Apartment for Resale in Xrbia Hinjewadi at Hinjawadi,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,583,7,2,2,2,2,Ready to Move,Furnished,5489,,Resale,,,,100000,3200000
2962,2BHK Multistorey Apartment for Resale in River Residency at Moshi,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,734,11,2,2,1,2,Ready to Move,Semi-Furnished,5722,,Resale,,,,0,4200000
2963,1BHK Multistorey Apartment for Resale in Rajshree Sonal Residency at Talegaon Dabhade,Apartment,"Pune, Maharashtra",Near Unique Hospital.,Pune,Maharashtra,India,393,531,4,1,1,,1,Ready to Move,Unfurnished,3672,,Resale,East,,Freehold,21000,1950000
2964,3BHK Multistorey Apartment for Resale in Kent Exclusive at Fatima Nagar Wanowrie,Apartment,"Pune, Maharashtra",Bank of Maharashtra Wanowrie,Pune,Maharashtra,India,1116,1395,6,3,3,2,3,Ready to Move,Semi-Furnished,10753,,Resale,East,1 Open,Freehold,1000000,15000000
2965,1BHK Multistorey Apartment for Resale in Atria Dhanashree Aangan at Undri,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,423,548,11,1,1,1,1,Ready to Move,Unfurnished,5839,,Resale,East,,Co-operative Society,100000,3200000
2966,"3BHK Multistorey Apartment for Resale in Urban Gram Kirkatwadi at Nana Nagar, Kirkitwadi",Apartment,"Pune, Maharashtra",Shreeyash Multi speciality hospital,Pune,Maharashtra,India,880,1020,4,3,2,1,3,Ready to Move,Unfurnished,5392,,Resale,East,1 Covered,Freehold,500000,5500000
2967,2BHK Multistorey Apartment for Resale in SVS Empressia at Sahakar Nagar Parvati Paytha,Apartment,"Pune, Maharashtra",Padmavati Chowk,Pune,Maharashtra,India,735,1070,9,2,2,2,2,Ready to Move,Semi-Furnished,9252,,Resale,West,1 Covered,Co-operative Society,500000,9900000
2968, Studio Apartment for Resale in VJ Town Centre at Wakad,Studio Apartment,"Pune, Maharashtra",Near Indira College,Pune,Maharashtra,India,190,265,13,,1,,0,Ready to Move,Unfurnished,11698,,Resale,East,,Freehold,100000,3100000
2969,2BHK Multistorey Apartment for Resale in Kolte Patil Life Republic at Hinjawadi,Apartment,"Pune, Maharashtra",Near Blossom English Medium School,Pune,Maharashtra,India,940,1140,22,2,2,1,2,Ready to Move,Unfurnished,6842,,Resale,East,,Freehold,100000,7800000
2970,2BHK Multistorey Apartment for Resale in Aishwaryam Courtyard Phase 2 at Chikhali Pimpri Chinchwad,Apartment,"Pune, Maharashtra",Near Sane Chowk,Pune,Maharashtra,India,716,840,7,2,2,1,2,Ready to Move,Unfurnished,5000,,Resale,North,1 Covered,Co-operative Society,100000,4200000
2971,1BHK Multistorey Apartment for Resale in VJ 67 K Inclusive Housing  at Kharadi,Apartment,"Pune, Maharashtra","Reliance Smart Kharadi, Opposite Radisson Blu Hotel, Central Kharadi",Pune,Maharashtra,India,206,512,35,1,1,,1,Under Construction,Semi-Furnished,7812,,Resale,East,1 Covered,Freehold,100000,4000000
2972,2BHK Multistorey Apartment for Resale in GK Rose Mansion at Tathawade Pimpri Chinchwad,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,580,670,8,2,2,1,2,Ready to Move,Unfurnished,9254,,Resale,West,,Freehold,100000,6200000
2973,1BHK Multistorey Apartment for Resale in Kalewadi Pimpri Chinchwad,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,500,627,6,1,1,1,1,Ready to Move,Unfurnished,6061,,Resale,East,,Freehold,100000,3800000
2974,"2BHK Multistorey Apartment for Resale in Little Earth at Kiwale, Dehu Road",Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,656,16,2,2,,2,Ready to Move,Unfurnished,8537,,Resale,East,,Co-operative Society,0,5600000
2975,1BHK Multistorey Apartment for Resale in Media Regency at Narhe,Apartment,"Pune, Maharashtra",Gajannan Maharaj Temple,Pune,Maharashtra,India,510,640,5,1,1,1,1,Ready to Move,Unfurnished,6250,,Resale,West,1 Open,Co-operative Society,500000,4000000
2976,1BHK Multistorey Apartment for Resale in Aurum Elementto at Lohegaon,Apartment,"Pune, Maharashtra",Orchid Hospital,Pune,Maharashtra,India,784,800,9,1,1,3,1,Ready to Move,Semi-Furnished,5000,,Resale,East,1 Open,Freehold,200000,4000000
2977,1BHK Multistorey Apartment for Resale in Alfa Landmark at Wagholi,Apartment,"Pune, Maharashtra",Bhairavnath Lakeview point,Pune,Maharashtra,India,450,550,,1,1,2,1,Ready to Move,Unfurnished,5636,,Resale,East,206 Open,Freehold,100000,3100000
2978,2BHK Multistorey Apartment for Resale in Ganga Savera at Fatima Nagar Wanowrie,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,,1100,7,2,2,1,2,Ready to Move,Unfurnished,7909,,Resale,,,Co-operative Society,500000,8700000
2979,1BHK Multistorey Apartment for Resale in Vikaskaran Sunrise Villa at Kalewadi Pimpri Chinchwad,Apartment,"Pune, Maharashtra",Tapkir mala chauk,Pune,Maharashtra,India,,610,8,1,1,,1,Ready to Move,Semi-Furnished,6885,,Resale,North,1 Open,Co-operative Society,0,4200000
2980,3BHK Multistorey Apartment for Resale in Paranjape Blue Ridge 24 & 25 at Hinjawadi,Apartment,"Pune, Maharashtra",,Pune,Maharashtra,India,1185,1250,30,3,3,2,3,Ready to Move,Semi-Furnished,13200,,Resale,,,,100000,16500000
